Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2021-04-26,F (Jan 2022),0.0000,23.5500,24.9500,0.0000,24.25,0,0,0,0
2021-04-27,F (Jan 2022),24.4000,24.8500,24.4000,24.6500,24.675,0.425,10,0,8
2021-04-28,F (Jan 2022),24.4500,24.5000,24.3500,24.4000,24.45,-0.225,8,0,11
2021-04-29,F (Jan 2022),24.6000,24.6000,24.4000,24.6000,24.425,-0.025,1,0,10
2021-04-30,F (Jan 2022),0.0000,24.4000,24.8000,0.0000,24.60,0.175,0,0,10
2021-05-03,F (Jan 2022),24.3500,24.4000,24.3500,24.3500,24.55,-0.05,3,0,13
2021-05-04,F (Jan 2022),0.0000,24.6500,24.7000,0.0000,24.725,0.175,0,0,13
2021-05-05,F (Jan 2022),24.4000,24.5000,24.4000,24.4500,24.65,-0.075,12,0,23
2021-05-06,F (Jan 2022),24.5000,24.6800,24.4000,24.4500,24.475,-0.175,21,0,42
2021-05-07,F (Jan 2022),24.5000,24.5000,24.2600,24.2600,24.225,-0.250,20,0,56
2021-05-10,F (Jan 2022),24.2300,24.4000,24.1500,24.2200,24.375,0.150,56,0,52
2021-05-11,F (Jan 2022),24.5100,25.1500,24.4900,25.1500,24.975,0.600,172,0,154
2021-05-12,F (Jan 2022),25.8500,26.1500,25.1700,26.1000,26.125,1.150,168,0,213
2021-05-13,F (Jan 2022),25.3000,25.9500,25.2400,25.2900,25.475,-0.650,58,0,213
2021-05-14,F (Jan 2022),25.1000,25.1500,24.3500,24.3800,24.425,-1.050,214,0,197
2021-05-17,F (Jan 2022),24.6000,25.2500,24.5600,24.8000,25.00,0.575,178,0,167
2021-05-18,F (Jan 2022),24.6500,25.2500,24.6000,25.2500,25.25,0.25,120,0,170
2021-05-19,F (Jan 2022),25.5000,26.2500,25.4500,25.5000,25.60,0.35,120,0,267
2021-05-20,F (Jan 2022),25.2000,25.5000,25.0000,25.0100,25.025,-0.575,86,0,317
2021-05-21,F (Jan 2022),24.8000,25.0000,24.7600,25.0000,24.95,-0.075,49,0,316
2021-05-24,F (Jan 2022),24.8100,24.8400,24.4500,24.5000,24.55,-0.40,82,0,314
2021-05-25,F (Jan 2022),24.3000,24.7000,24.3000,24.6000,24.675,0.125,94,0,332
2021-05-26,F (Jan 2022),24.5600,24.5600,24.1900,24.1900,24.25,-0.425,107,0,363
2021-05-27,F (Jan 2022),24.4000,24.4000,23.8300,23.8300,23.90,-0.35,181,0,347
2021-05-28,F (Jan 2022),23.6900,24.0000,23.6000,23.9500,24.00,0.10,119,0,396
2021-06-01,F (Jan 2022),23.9000,24.1500,23.6700,24.0300,24.20,0.20,243,0,398
2021-06-02,F (Jan 2022),24.2000,24.3000,23.9500,24.3000,24.25,0.05,173,0,402
2021-06-03,F (Jan 2022),24.3500,24.5600,24.3000,24.5100,24.45,0.20,188,0,455
2021-06-04,F (Jan 2022),24.4600,24.4600,23.9700,23.9900,23.975,-0.475,250,0,534
